annotation_id,case_id,parent_annotation_id,actor_id,actor_type,annotation_stage,primary_evidence_segment_ids,function_label,rationale_mechanism,uncertainty_flag,rationale_note,alternative_pathway_present,alternative_mechanism,alternative_note,status
P03_C06_POST,C06,P03_C06_PRE,P03,human,human_post_ai,C06_S2,label_b,qualifies,medium,Human modifies the retained alternative.,yes,qualifies,AI_C06 alternative note.,locked
P04_C01_PRE,C01,,P04,human,human_pre,C01_S3,label_c,contradicts,high,Human rejects AI despite disagreement.,no,,,locked
P04_C01_POST,C01,P04_C01_PRE,P04,human,human_post_ai,C01_S3,label_c,contradicts,high,Human rejects AI despite disagreement.,no,,,locked
P04_C02_PRE,C02,,P04,human,human_pre,C02_S1,label_a,supports,medium,Human changes after rereading.,no,,,locked
P04_C02_POST,C02,P04_C02_PRE,P04,human,human_post_ai,C02_S1|C02_S4,label_c,supports,medium,Human reports rereading drove the change.,no,,,locked
P04_C03_PRE,C03,,P04,human,human_pre,C05_S1,label_a,supports,medium,Control pre record changes on second pass.,no,,,locked
P04_C03_CONTROL,C03,P04_C03_PRE,P04,human,human_second_pass_control,C05_S1|C05_S3,label_b,qualifies,high,Control changed after rereading without AI.,no,,,locked
P04_C04_PRE,C04,,P04,human,human_pre,C06_S1,label_a,supports,medium,No change control record.,no,,,locked
P04_C04_CONTROL,C04,P04_C04_PRE,P04,human,human_second_pass_control,C06_S1,label_a,supports,medium,No change control record.,no,,,locked
P04_C05_PRE,C05,,P04,human,human_pre,C05_S1,label_a,supports,medium,Human pre rationale differs.,no,,,locked
P04_C05_POST,C05,P04_C05_PRE,P04,human,human_post_ai,C05_S1|C05_S2,label_a,supports,medium,AI_C05 repeated phrase exact copied wording appears here with human additions.,no,,,locked
P04_C06_PRE,C06,,P04,human,human_pre,C06_S1,label_a,supports,high,Human pre differs before identical AI-like post.,no,,,locked
P04_C06_POST,C06,P04_C06_PRE,P04,human,human_post_ai,C06_S2,label_b,qualifies,medium,AI_C06 rationale and full core are copied.,yes,qualifies,AI_C06 alternative note.,locked
