annotation_id,parent_annotation_id,case_id,actor_id,actor_type,annotation_stage,pre_ai_annotation_locked,ai_output_exposed,exposure_order,interface_condition,model_provider,model_name,model_version_or_date,prompt_template_id,prompt_hash,system_prompt_hash,model_run_id,retry_count,regenerated_output,temperature_or_sampling,output_components_shown,exposure_timestamp,post_edit_timestamp,changed_label,changed_primary_evidence,changed_rationale_mechanism,changed_uncertainty,changed_alternative,exposed_ai_annotation_id,exposed_model_run_id,self_reported_revision_reason,self_reported_revision_note,prior_access_to_other_annotations,lock_status
P01_C05_PRE,,C05,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C05_CONTROL,P01_C05_PRE,C05,P01,human,human_second_pass_control,yes,label_only,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,yes,yes,yes,yes,no,,,changed_after_rereading_not_ai,,none,locked
P01_C06_PRE,,C06,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C06_CONTROL,P01_C06_PRE,C06,P01,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,no,no,no,no,no,,,not_applicable,,none,locked
P02_C01_PRE,,C01,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C01_CONTROL,P02_C01_PRE,C01,P02,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,no,no,no,no,no,,,not_applicable,,none,locked
P02_C02_PRE,,C02,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C02_POST,P02_C02_PRE,C02,P02,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,yes,no,no,no,AI_C02,RUN_WRONG,ai_identified_missed_evidence,,none,locked
P02_C03_PRE,,C03,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C03_POST,P02_C03_PRE,C03,P02,human,human_post_ai,yes,none,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,yes,no,no,no,AI_C03,RUN_C03,ai_identified_missed_evidence,,none,locked
P02_C04_PRE,,C04,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C04_POST,P02_C04_PRE,C04,P02,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,yes,no,no,AI_C04,RUN_C04,ai_clarified_category_boundary,,none,locked
P02_C05_PRE,,C05,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C05_POST,P02_C05_PRE,C05,P02,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,yes,no,AI_C05,RUN_C05,ai_confirmed_original_judgment,,none,locked
P02_C06_PRE,,C06,P02,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P02_C06_CONTROL,P02_C06_PRE,C06,P02,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,yes,yes,yes,yes,no,,,changed_after_rereading_not_ai,,none,locked
P03_C01_PRE,,C01,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C01_CONTROL,P03_C01_PRE,C01,P03,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,yes,yes,yes,yes,no,,,changed_after_rereading_not_ai,,none,locked
P03_C02_PRE,,C02,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C02_CONTROL,P03_C02_PRE,C02,P03,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,no,no,no,no,no,,,not_applicable,,none,locked
P03_C03_PRE,,C03,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C03_POST,P03_C03_PRE,C03,P03,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,yes,no,AI_C03,RUN_C03,mixed_or_unclear,,none,locked
P03_C04_PRE,,C04,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C04_POST,P03_C04_PRE,C04,P03,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,no,yes,AI_C04,RUN_C04,ai_clarified_category_boundary,,none,locked
P03_C05_PRE,,C05,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C05_POST,P03_C05_PRE,C05,P03,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,yes,yes,AI_C05,RUN_C05,ai_persuaded_interpretive_change,,none,locked
P03_C06_PRE,,C06,P03,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P03_C06_POST,P03_C06_PRE,C06,P03,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,no,no,AI_C06,RUN_C06,ai_clarified_category_boundary,,none,locked
P04_C01_PRE,,C01,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C01_POST,P04_C01_PRE,C01,P04,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,no,no,AI_C01,RUN_C01,rejected_ai_output,,none,locked
P04_C02_PRE,,C02,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C02_POST,P04_C02_PRE,C02,P04,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,yes,yes,no,no,no,AI_C02,RUN_C02,changed_after_rereading_not_ai,,none,locked
P04_C03_PRE,,C03,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C03_CONTROL,P04_C03_PRE,C03,P04,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,yes,yes,yes,yes,no,,,changed_after_rereading_not_ai,,none,locked
P04_C04_PRE,,C04,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C04_CONTROL,P04_C04_PRE,C04,P04,human,human_second_pass_control,yes,none,control_second_pass,control_review,,,,,,,,0,no,,,,2026-07-01T01:10:00+00:00,no,no,no,no,no,,,not_applicable,,none,locked
P04_C05_PRE,,C05,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C05_POST,P04_C05_PRE,C05,P04,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,yes,no,no,no,AI_C05,RUN_C05,mixed_or_unclear,,none,locked
P04_C06_PRE,,C06,P04,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P04_C06_POST,P04_C06_PRE,C06,P04,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,yes,yes,yes,yes,yes,AI_C06,RUN_C06,ai_persuaded_interpretive_change,,none,locked
