manual_component,category,source_path,source_commit,source_status,synthesis_id,inherited_wording,revised_wording,revision_reason,unresolved_conflict,authority_decision
candidate_loci schema,operation_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,operation_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,operation_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,operation_function,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,operation_function,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_OPERATION_ATTRIBUTION_EXAMPLE,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,boundary_setting,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,boundary_setting,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,boundary_setting,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,boundary_setting,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,boundary_setting,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,boundary_setting,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,boundary_setting,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,temporal_layering,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,temporal_layering,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,temporal_layering,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,temporal_layering,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,temporal_layering,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,temporal_layering,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,temporal_layering,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,perspective_assignment,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,perspective_assignment,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,perspective_assignment,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,perspective_assignment,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,perspective_assignment,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,perspective_assignment,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,perspective_assignment,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,context_inference,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,context_inference,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,context_inference,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,context_inference,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,context_inference,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,context_inference,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,context_inference,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_DECISION_CANDIDATES,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_DECISION_CANDIDATES,Category questions and positive/exclusion indicators,All eight categories are evaluated before dominance; no early termination,Needed to prevent fixed-priority tree decisions,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_DOMINANCE_RESOLUTION,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_DOMINANCE_RESOLUTION,One dominant locus or unresolved,Candidate set resolution for one/two/more-than-two candidates,Needed to choose a locus without arbitrary category order,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_TIE_HANDLING,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_TIE_HANDLING,unresolved can be final label,Ties after tests require unresolved plus escalation,Needed to avoid false precision,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_CONFLICTING_TESTS,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_CONFLICTING_TESTS,tests must be recorded,Conflicting tests force unresolved and escalation,Needed for non-neat cases,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_REVIEW_POLICY,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_REVIEW_POLICY,cue_function reserved; boundary/context awaiting testing,Category-specific standard/review_sensitive/reserved policy,Needed to avoid collapsing reserved and review-sensitive,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_PROPOSED_FINAL_SEPARATION,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_PROPOSED_FINAL_SEPARATION,separate schema fields,"Governance model distinguishing human proposal, model proposal, later review, and explicit review linkage.",Needed to preserve original proposals; final narrow schema correction adds explicit review linkage fields.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_SPEAKER_BOUNDARY_SPLIT,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_SPEAKER_BOUNDARY_SPLIT,boundary and perspective definitions,Attachment/scope vs stable standpoint vs authority vs relation distinctions,Needed to resolve speaker/perspective confusion,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_OPERATION_ATTRIBUTION_TWO_CF,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_OPERATION_ATTRIBUTION_TWO_CF,operation/attribution pair exists,Two explicit manipulations: remove standing; remove operation,Needed when both operation and authority are plausible,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_CONTEXT_POSITIVE_EVIDENCE,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_CONTEXT_POSITIVE_EVIDENCE,context_inference awaiting testing; residual risk,"Requires named bridge, type, documentation, protocol permission",Needed to prevent residual bucket use,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_WORKED_EXAMPLES,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_WORKED_EXAMPLES,artificial examples allowed,Fully worked artificial records with tests and governance fields,Needed because prior examples were only illustrations,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_MANIFEST_FREEZE,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_MANIFEST_FREEZE,hashes over LF bytes,Non-circular commit fields: manual_content_commit null pre-merge,Needed to avoid future-commit placeholders,none,adopted_in_draft
declared synthesis,all,SYN_V0_1_SCHEMA_CONSTRAINTS,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_SCHEMA_CONSTRAINTS,schema represents main fields,"Schema compatibility audit now records full structural representation using candidate_loci, review_policy_applied, and review linkage fields.",Prior schema-constraint synthesis superseded by final narrow schema correction.,none,superseded_by_final_narrow_schema_correction
declared synthesis,all,SYN_V0_1_CANDIDATE_SCHEMA,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_CANDIDATE_SCHEMA,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",structured candidate_loci representation,Stage A candidate detection requires exactly one state for each substantive category; free-text decision_path is insufficient.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_REVIEW_POLICY_SCHEMA,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_REVIEW_POLICY_SCHEMA,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",structured review_policy_applied representation,Category-specific review policies must be recorded as structured data and cross-checked against proposed_locus.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_REVIEW_LINKAGE,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_REVIEW_LINKAGE,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",structured review-record linkage,Later review/adjudication records must cite original record_id and hash and preserve the original proposal.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_CUE_POSITIVE_CRITERION,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_CUE_POSITIVE_CRITERION,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",positive cue_function criterion,"cue_function support must come from positive cue-family substitution evidence, not exclusion of other candidates.",none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_OPERATION_ATTRIBUTION_EXAMPLE,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_OPERATION_ATTRIBUTION_EXAMPLE,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",replacement operation/attribution example,A valid pairwise example must separate pre-existing warranting standing from the interpretive operation.,none,adopted_for_protocol_review_v0_1
declared synthesis,all,SYN_V0_1_CROSS_FIELD_VALIDATION,6998175eeca5d349072bf31012c69f2d568f28ec,new synthesis,SYN_V0_1_CROSS_FIELD_VALIDATION,"Prior protocol, lineage table, predicted-confusion table, and schema draft supplied partial concepts but not this exact structure.",manual/schema validator constraints,Some relationships are enforced by the manual validator rather than JSON Schema alone.,none,adopted_for_protocol_review_v0_1
