case_id,original_work_author,original_publication_date,exact_edition,exact_translator,translation_publication_date,source_provider,source_url,source_jurisdiction_note,original_text_rights_status,translation_rights_status,public_redistribution_status,repository_publication_status,private_source_text_hash,private_source_packet_hash,rights_basis,notes
L1_POE_TELLTALE_001,Edgar Allan Poe,1843,"Project Gutenberg eBook #2148, English public-domain Poe edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/2148/pg2148.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,6ce8960fe2e1ccae41942792420e76a7f072478b28d856fb41ae8fd5a6b89c8a,215ed1bebdf4432f32ed3a4b08c9dbd1a8a416c8c358ec61ddbe4b4a46a533ef,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_SHELLEY_FRANK_001,Mary Wollstonecraft Shelley,1818/1831,"Project Gutenberg eBook #84, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/84/pg84.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,6d6e6a5fb74189673b173b98cc6714835f087776cbd7768ab65de9e038c27036,0cf97a18383b85b0078afc80cc9b2199a7383bf05e843a4bdb157cbe2fcac69c,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_STEVENSON_JH_001,Robert Louis Stevenson,1886,"Project Gutenberg eBook #43, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/43/pg43.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,f1667a3dd1174124e93b83c27f4255f68cd0dcfb49bcecc3a70fdf25cf10baea,9886ad2ebc49cd9844396adc573642e91db26e06497227903b6e4deb29005a69,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_WHARTON_MIRTH_001,Edith Wharton,1905,"Project Gutenberg eBook #284, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/284/pg284.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,606505e6d8076c8b5b999973cc17ad111cd2d38e8f604620154b7637b25b6346,f9280c74ec617a438fa3f65f932a9b5a1bb9fc411e14d4d962dd4efe190a3433,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_WILDE_DG_001,Oscar Wilde,1890/1891,"Project Gutenberg eBook #174, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/174/pg174.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,3d519db6ae0da4fc49c71ccb8ca696dc75cd0709f9bf9ad910181d8dc60cb1bd,a7c1ea478fef30ce8afe0739dfaf1030453ddd51966bd477738a5e5a80615343,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_AESOP_001,Aesop / fable tradition,classical/ancient tradition,"Project Gutenberg eBook #21, Three Hundred Aesop’s Fables",not_resolved_in_current_public_metadata_pending_rights_review,not_resolved_in_current_public_metadata_pending_rights_review,Project Gutenberg,https://www.gutenberg.org/cache/epub/21/pg21.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,ddc09da520ef44cade680d9328129c75a071426454442819c56d5efadbccc467,1f7e7e97f96528c997c6094106a7d5db7d21f0040336930c2849b60ab8d179a2,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_ARABIAN_NIGHTS_001,Arabic/Persian frame-tale tradition,medieval/early modern tradition,"Project Gutenberg eBook #128, The Arabian Nights Entertainments",not_resolved_in_current_public_metadata_pending_rights_review,not_resolved_in_current_public_metadata_pending_rights_review,Project Gutenberg,https://www.gutenberg.org/cache/epub/128/pg128.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,4bc1a0424344ee3961d3bd9621d580ab4207a2b0043cc91d6cc9426ca1725e90,bd11b79c6862eaad5d64d81d4c3fc61ddc60ed9916d6dad231ff1814b6b3ed82,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_BEOWULF_DRAGON_001,anonymous Old English poet/tradition,early medieval,"Project Gutenberg eBook #16328, Francis B. Gummere translation",Francis B. Gummere,1909/1910 public-domain translation; exact publication basis requires rights confirmation,Project Gutenberg,https://www.gutenberg.org/cache/epub/16328/pg16328.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,903ec8fb2700929fa3934fe415a90a62ddeb16faeea41f0a13a67a7fa3e9784e,039070324ba667dbe267a1089943b6caa58b3c9dfe4a4f94f856926960a2841b,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_BIBLE_GENESIS_001,Biblical Hebrew tradition,ancient text; KJV 1611,"Project Gutenberg eBook #10, King James Version Old Testament text",King James Version translation committee,1611 translation; jurisdiction-specific Crown/copyright status requires review,Project Gutenberg,https://www.gutenberg.org/files/10/10-0.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,aab83d09bebf1f2f8e98ea81642eeac68432650eb46cfe2720aa4ea147833cd3,d2d812795d52f0af94e87d187fdd600435f4b4cb506368beb63aae3405cfdbb9,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_BIBLE_SAMUEL_001,Biblical Hebrew tradition,ancient text; KJV 1611,"Project Gutenberg eBook #10, King James Version Old Testament text",King James Version translation committee,1611 translation; jurisdiction-specific Crown/copyright status requires review,Project Gutenberg,https://www.gutenberg.org/files/10/10-0.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,431f1405348ebe23f5fd8f31f367afc02312c998f2ff2389ebba1c6f7713fbb6,50fc0e2ef2ead553323ed682f185871dd5cb700f2449c14bc6aec726e2920a02,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_HERODOTUS_SCYTHIAN_001,Herodotus,c. fifth century BCE,"Project Gutenberg eBook #2707, George Rawlinson translation",George Rawlinson,nineteenth-century translation; exact edition basis requires rights confirmation,Project Gutenberg,https://www.gutenberg.org/cache/epub/2707/pg2707.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,dcd190447123e3e10e5ac07ce956b9f9e574d97d235bee3a8b525cbe293307a0,75aad061e977a3c505bf4755378b6eddeb73963da82531ccfdee414883298ad7,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_HOMER_ODYSSEY_001,Homeric tradition,ancient Greek epic,"Project Gutenberg eBook #1727, Samuel Butler translation",Samuel Butler,1900 public-domain translation; exact edition basis requires rights confirmation,Project Gutenberg,https://www.gutenberg.org/cache/epub/1727/pg1727.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,1d2781556f6b9be194373c7758ff4bff9b4044d517b3cda0a3b55a6578295511,a73822176877845585495fae3c5f1eb6df850c5aa63198f99e0546fcd16cb046,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_MALORY_MORTE_001,Thomas Malory,1485,"Project Gutenberg eBook #1251, Le Morte d’Arthur: Volume 1",not_resolved_in_current_public_metadata_pending_rights_review,not_resolved_in_current_public_metadata_pending_rights_review,Project Gutenberg,https://www.gutenberg.org/cache/epub/1251/pg1251.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,a645678ce59e01b95ed7f3eb73a222579d0d463121c7d0e7088422ea90b8cb97,bf01b657a4b82ecd01d81c8d5dc6e785908f565bb936f0cc0a56dcd576d0f2aa,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_OVID_DAPHNE_001,Ovid,c. 8 CE,"Project Gutenberg eBook #21765, The Metamorphoses of Ovid, Books I-VII",not_resolved_in_current_public_metadata_pending_rights_review,not_resolved_in_current_public_metadata_pending_rights_review,Project Gutenberg,https://www.gutenberg.org/cache/epub/21765/pg21765.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,16637ccfbc68746be0b7d397294b8d4fea2097f7a376d0e91ebf50058d8f92a2,ac3ef631583ff1c13500c83685eb1bb992b30e13a7b9cd6b4b45f5b61657f781,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L2_SOPHOCLES_ANTIGONE_001,Sophocles,c. 441 BCE,"Project Gutenberg eBook #31, public-domain English translation",not_resolved_in_current_public_metadata_pending_rights_review,not_resolved_in_current_public_metadata_pending_rights_review,Project Gutenberg,https://www.gutenberg.org/cache/epub/31/pg31.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,translation_rights_not_independently_verified_pending_review,not_confirmed_pending_rights_review,metadata_only_text_redacted,44717822941f4e8fd7c08f067795c0f99e8a866fd54e0aa066d46950b980df09,fcd3fb2894da6f8210116cc745c0508558926a5af3cb2432b1286e2ebf338ec8,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
