path,classification,action,destination,reason,frozen_hash_relevant,notes
data/demo_annotations.json,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/demo_annotations_second_coder_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/in_a_grove_three_cases_with_segments.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_case_manifest.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_coding_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_language_access_form.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_practice_cases.md,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_question_log_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_research_manifest.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_shared_context_registry.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/retest_v0_2_1_source_packet.md,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/second_coder_practice_cases.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/second_coder_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/source_segments_demo.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/trim_haa_assistance_provenance_template.csv,shared_infrastructure,keep,data/trim_haa_assistance_provenance_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_core_template.csv,shared_infrastructure,keep,data/trim_haa_core_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_depth_template.csv,shared_infrastructure,keep,data/trim_haa_depth_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_exposure_event_template.csv,shared_infrastructure,keep,data/trim_haa_exposure_event_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_lock_manifest_template.csv,shared_infrastructure,keep,data/trim_haa_lock_manifest_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_model_run_manifest_template.csv,shared_infrastructure,keep,data/trim_haa_model_run_manifest_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
data/trim_haa_prompt_manifest_template.csv,shared_infrastructure,keep,data/trim_haa_prompt_manifest_template.csv,TRIM-HAA CSV templates remain active shared fixtures.,no,
docs/TRIM_Coding_Manual_v0_2_1_friction_locus.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/TRIM_Coding_Manual_v0_2_1_rationale_mechanism.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/TRIM_Coding_Manual_v0_2_friction_locus_final.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/TRIM_Coding_Manual_v0_2_rationale_mechanism.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/TRIM_HAA_assistance_provenance.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_construct_definitions.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_control_condition.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_core_schema.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_ethics_preparation.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_exposure_events.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_locking_and_lineage.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_migration_from_TRIM.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_minimum_pilot_protocol.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_overview.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_HAA_reporting_limits.md,active_trim_haa,replace,docs/,TRIM-HAA documentation is consolidated into standalone docs.,no,
docs/TRIM_codebook_v0_2_0.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/TRIM_codebook_v0_2_1.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/article_use.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/blinded_pilot_protocol.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/cross_language_validity.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/demo_dataset_notes.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/discourse_level_guide_v0_2_1.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/intercoder_workflow.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/intercoder_workflow_v0_2_1.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/manual_operational_preservation_audit.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/methodological_position.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/pilot_v0_2_0_results_and_adjudication.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/related_methods.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/release_instructions.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/retest_protocol_v0_2_1.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/retest_v0_2_1_case_design_audit.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/retest_v0_2_1_coder_guide.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/retest_v0_2_1_semantic_steering_audit.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/schema_validation_migration.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/second_coder_onboarding.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/second_coder_onboarding_v0_2_1.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/segmentation_workflow.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/software_scope.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/substantive_demo_interpretations.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
docs/v0_2_1_revision_traceability.md,legacy_trim,delete_from_active_tree,,Legacy TRIM documentation removed from active docs.,no,
dry_runs/trim_haa_synthetic_v0_1/README.md,active_trim_haa,move,examples/synthetic_dry_run/valid/README.md,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/assistance_provenance.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/assistance_provenance.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/case_assignments.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/case_assignments.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/cases.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/cases.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/core_annotations.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/core_annotations.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/exposure_events.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/exposure_events.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/lock_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/lock_manifest.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/model_run_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/model_run_manifest.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/burden_simulation.md,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/burden_simulation.md,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/case_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/case_level_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/construct_separation_check.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/construct_separation_check.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/control_comparison_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/control_comparison_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/dry_run_execution_summary.md,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/dry_run_execution_summary.md,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/dry_run_verdict.md,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/dry_run_verdict.md,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/exposure_consistency_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/exposure_consistency_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/lineage_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/lineage_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/lock_verification_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/lock_verification_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/participant_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/participant_level_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/study_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/study_level_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/validation_report.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/validation_report.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/outputs/warning_audit.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/outputs/warning_audit.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/participant_metadata.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/participant_metadata.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/prompt_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/prompt_manifest.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1/revision_reasons.csv,active_trim_haa,move,examples/synthetic_dry_run/valid/revision_reasons.csv,Synthetic valid dry run remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/README.md,active_trim_haa,move,examples/synthetic_dry_run/invalid/README.md,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/assistance_provenance.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/assistance_provenance.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/case_assignments.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/case_assignments.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/cases.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/cases.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/core_annotations.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/core_annotations.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/exposure_events.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/exposure_events.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/lock_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/lock_manifest.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/model_run_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/model_run_manifest.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/burden_simulation.md,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/burden_simulation.md,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/case_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/case_level_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/construct_separation_check.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/construct_separation_check.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/control_comparison_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/control_comparison_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/dry_run_execution_summary.md,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/dry_run_execution_summary.md,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/dry_run_verdict.md,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/dry_run_verdict.md,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/exposure_consistency_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/exposure_consistency_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/invalid_scenario_detection_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/invalid_scenario_detection_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/lineage_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/lineage_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/lock_verification_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/lock_verification_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/participant_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/participant_level_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/study_level_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/study_level_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/validation_report.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/validation_report.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/outputs/warning_audit.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/outputs/warning_audit.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/participant_metadata.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/participant_metadata.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/prompt_manifest.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/prompt_manifest.csv,Synthetic invalid fixture remains an active technical example.,no,
dry_runs/trim_haa_synthetic_v0_1_invalid/revision_reasons.csv,active_trim_haa,move,examples/synthetic_dry_run/invalid/revision_reasons.csv,Synthetic invalid fixture remains an active technical example.,no,
ethics/TRIM_HAA_consent_form.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_consent_form.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_data_management_plan.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_data_management_plan.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_debrief_sheet.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_debrief_sheet.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_ethics_submission_summary.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_ethics_submission_summary.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_participant_information_sheet.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_participant_information_sheet.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_pre_submission_blockers.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_pre_submission_blockers.md,Deferred future human-study ethics draft.,no,
ethics/TRIM_HAA_risk_assessment.md,future_human_study,move,research/future_human_study/ethics_drafts/TRIM_HAA_risk_assessment.md,Deferred future human-study ethics draft.,no,
examples/TRIM_demo_workflow.ipynb,legacy_trim,delete_from_active_tree,,Legacy TRIM examples removed from active tree.,no,
examples/demo_trim_workflow.py,legacy_trim,delete_from_active_tree,,Legacy TRIM examples removed from active tree.,no,
examples/run_intercoder_demo.py,legacy_trim,delete_from_active_tree,,Legacy TRIM examples removed from active tree.,no,
examples/run_trim_with_source_segments.py,legacy_trim,delete_from_active_tree,,Legacy TRIM examples removed from active tree.,no,
outputs/coder_packages/TRIM_retest_v0_2_1_coder_package.SHA256SUMS.txt,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/coder_packages/TRIM_retest_v0_2_1_coder_package.zip,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/coder_packages/TRIM_retest_v0_2_1_semantic_steering_audit.json,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/coder_packages/TRIM_retest_v0_2_1_semantic_steering_audit.txt,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/demo.graphml,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/demo.json,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/demo_corpus.graphml,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/demo_corpus_graph.json,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/in_a_grove_segments.graphml,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/graphs/in_a_grove_segments.json,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/demo_comparison_report.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/demo_report.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/demo_validation_report.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/graph_summary.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/in_a_grove_segments_report.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/in_a_grove_segments_validation.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/intercoder_demo_report.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/reports/validation.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/broad_family_different_signature.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/contested_cases.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/demo_annotations_validated.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/in_a_grove_segments/broad_family_different_signature.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/in_a_grove_segments/contested_cases.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/in_a_grove_segments/same_cue_different_function.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/in_a_grove_segments/same_function_different_signature.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/same_cue_different_function.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
outputs/tables/same_function_different_signature.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
papers/TRIM_article_working_notes.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/README.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/SHA256SUMS.txt,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/adjudication/README.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/locked_submissions/README.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/original_packet/README.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_archive/v0_2_0_usability_pilot/post_pilot_interview/README.md,legacy_trim,delete_from_active_tree,,Legacy TRIM outputs/archive notes retained through Git history/tag only.,no,
pilot_protocol/TRIM_HAA_AI_exposure_instructions.md,future_human_study,move,research/future_human_study/pilot_protocol/TRIM_HAA_AI_exposure_instructions.md,Deferred future human-study protocol draft.,no,
pilot_protocol/TRIM_HAA_burden_and_comprehension_questionnaire.md,future_human_study,move,research/future_human_study/pilot_protocol/TRIM_HAA_burden_and_comprehension_questionnaire.md,Deferred future human-study protocol draft.,no,
pilot_protocol/TRIM_HAA_case_selection_criteria.md,future_human_study,move,research/future_human_study/pilot_protocol/TRIM_HAA_case_selection_criteria.md,Deferred future human-study protocol draft.,no,
