candidate_id,source_universe_id,source_tradition,source_work,edition_or_version,source_language,canonical_text_status,translation_or_gloss_status,translation_or_gloss_provenance,candidate_span,approximate_case_length,context_window_rule,prior_demo_use,prior_manual_use,manual_development_influence,researcher_prior_analysis,researcher_familiarity_level,eligible,inclusion_status,exclusion_reason_code,selection_rationale,selector,selection_timestamp,label_information_visible_at_selection,rights_status,rights_basis,source_retrieval_date,source_text_hash,provenance_manifest_reference,notes,terminal_category,eligibility_exclusion_reason_code,non_selection_reason_code,familiarity_audit_status
L1_HARDY_TESS_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Late Victorian fiction,"Thomas Hardy, Tess of the d’Urbervilles","Project Gutenberg eBook #110, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Narratorial explanation after The Chase episode,143 words,focal narratorial qualification plus inherited-retribution frame,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,7ada1f998dbc83ac72ea2091507a0a6fe9648724d3c687e4965a945bcbbb52dd,data/studies/human_llm_pilot/source_packets/L1_HARDY_TESS_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_MELVILLE_BARTLEBY_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,American nineteenth-century fiction,"Herman Melville, Bartleby, the Scrivener","Project Gutenberg eBook #11231, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Bartleby’s first refusal,203 words,focal office exchange plus immediate narrator reaction,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,949415e66a12f3f22e630ee0643ee68a9757d5d6811ff4bbbef22205dc73cc93,data/studies/human_llm_pilot/source_packets/L1_MELVILLE_BARTLEBY_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_WHARTON_MIRTH_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,American early twentieth-century fiction,"Edith Wharton, The House of Mirth","Project Gutenberg eBook #284, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Lily Bart evaluates Percy Gryce and social constraint,274 words,focal interior reflection plus immediate social-material contrast,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,606505e6d8076c8b5b999973cc17ad111cd2d38e8f604620154b7637b25b6346,data/studies/human_llm_pilot/source_packets/L1_WHARTON_MIRTH_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_COLLINS_MOONSTONE_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Victorian sensation fiction,"Wilkie Collins, The Moonstone","Project Gutenberg eBook #155, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Paint stain evidence reorients the Moonstone inquiry,189 words,focal evidence discovery plus remembered inference,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,88fc0226132892838989602f29db7daa1ac59e411bc5c90b1ee47e9e44a6be73,data/studies/human_llm_pilot/source_packets/L1_COLLINS_MOONSTONE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_CONRAD_SECRET_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Modernist maritime fiction,"Joseph Conrad, The Secret Sharer","Project Gutenberg eBook #220, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Captain conceals and recognizes the secret sharer,429 words,focal concealment sequence plus self-observation context,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,ddf68422a3cd9832cd4e18cd002aaddde0494c9694a1ee7fa0da5390adf99dc0,data/studies/human_llm_pilot/source_packets/L1_CONRAD_SECRET_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_HOMER_ODYSSEY_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Ancient Greek epic in public-domain English translation,"Homer, The Odyssey","Project Gutenberg eBook #1727, Samuel Butler translation",English translation from Ancient Greek,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,authoritative_working_translation_for_study_packet,Samuel Butler public-domain English translation via Project Gutenberg,Odysseus gives Polyphemus the name Noman,115 words,focal deception exchange plus immediate response,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,1d2781556f6b9be194373c7758ff4bff9b4044d517b3cda0a3b55a6578295511,data/studies/human_llm_pilot/source_packets/L2_HOMER_ODYSSEY_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_SOPHOCLES_ANTIGONE_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Ancient Greek tragedy in public-domain English translation,"Sophocles, Antigone","Project Gutenberg eBook #31, public-domain English translation",English translation from Ancient Greek,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,Public-domain English translation via Project Gutenberg,Antigone distinguishes divine law from Creon’s decree,97 words,focal defense speech plus immediate legal-religious contrast,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,44717822941f4e8fd7c08f067795c0f99e8a866fd54e0aa066d46950b980df09,data/studies/human_llm_pilot/source_packets/L2_SOPHOCLES_ANTIGONE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_HERODOTUS_SCYTHIAN_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Ancient Greek historiography in public-domain English translation,"Herodotus, The Histories","Project Gutenberg eBook #2707, George Rawlinson translation",English translation from Ancient Greek,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,George Rawlinson public-domain English translation via Project Gutenberg,Dareios and Gobryas interpret the Scythian gifts,266 words,focal sign-interpretation episode plus competing readings,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,dcd190447123e3e10e5ac07ce956b9f9e574d97d235bee3a8b525cbe293307a0,data/studies/human_llm_pilot/source_packets/L2_HERODOTUS_SCYTHIAN_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_BIBLE_GENESIS_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Biblical narrative in public-domain English translation,"Genesis, King James Version","Project Gutenberg eBook #10, King James Version Old Testament text",English translation from Biblical Hebrew,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,King James Version public-domain English translation via Project Gutenberg,Isaac asks about the missing lamb,111 words,focal question-answer exchange plus immediate sacrificial context,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,aab83d09bebf1f2f8e98ea81642eeac68432650eb46cfe2720aa4ea147833cd3,data/studies/human_llm_pilot/source_packets/L2_BIBLE_GENESIS_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_BIBLE_SAMUEL_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Biblical narrative in public-domain English translation,"2 Samuel, King James Version","Project Gutenberg eBook #10, King James Version Old Testament text",English translation from Biblical Hebrew,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,King James Version public-domain English translation via Project Gutenberg,Nathan applies the parable to David,112 words,focal parable application plus immediate divine indictment,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,431f1405348ebe23f5fd8f31f367afc02312c998f2ff2389ebba1c6f7713fbb6,data/studies/human_llm_pilot/source_packets/L2_BIBLE_SAMUEL_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_AESOP_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Fable in public-domain English translation,"Aesop, The Fox and the Grapes","Project Gutenberg eBook #21, Three Hundred Aesop’s Fables",English translation from Greek/Latin fable tradition,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,Public-domain English Aesop edition via Project Gutenberg,The fox reinterprets unreachable grapes,61 words,complete short fable passage,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,ddc09da520ef44cade680d9328129c75a071426454442819c56d5efadbccc467,data/studies/human_llm_pilot/source_packets/L2_AESOP_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_OVID_DAPHNE_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Roman mythological narrative in public-domain English translation,"Ovid, Metamorphoses, Daphne episode","Project Gutenberg eBook #21765, The Metamorphoses of Ovid, Books I-VII",English translation from Latin,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,Public-domain English translation via Project Gutenberg,Daphne’s prayer and transformation,245 words,focal transformation plus immediate pursuit context,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,16637ccfbc68746be0b7d397294b8d4fea2097f7a376d0e91ebf50058d8f92a2,data/studies/human_llm_pilot/source_packets/L2_OVID_DAPHNE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_MALORY_MORTE_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Medieval romance in public-domain English,"Thomas Malory, Le Morte d’Arthur","Project Gutenberg eBook #1251, Le Morte d’Arthur: Volume 1",English/Middle English public-domain edition,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_text,Public-domain English/Middle English edition via Project Gutenberg,The sword in the stone identifies rightful kingship,218 words,focal inscription plus immediate trial context,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,a645678ce59e01b95ed7f3eb73a222579d0d463121c7d0e7088422ea90b8cb97,data/studies/human_llm_pilot/source_packets/L2_MALORY_MORTE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L2_BEOWULF_DRAGON_001,L2_CLASSICAL_TRANSFER_PD_TRANSLATIONS_2026_07_02,Old English epic in public-domain English translation,Beowulf,"Project Gutenberg eBook #16328, Francis B. Gummere translation",English translation from Old English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,public_domain_working_translation_for_study_packet,Francis B. Gummere public-domain English translation via Project Gutenberg,Beowulf compares dragon combat with Grendel combat,76 words,focal boast and weapon-choice passage,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,903ec8fb2700929fa3934fe415a90a62ddeb16faeea41f0a13a67a7fa3e9784e,data/studies/human_llm_pilot/source_packets/L2_BEOWULF_DRAGON_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
