case_id,segment_id,source,edition_or_translation,source_url,location,quotation_status,normalization_notes,copyright_status
HAM_PLAY_REACTION,HAM_PLAY_REACTION_S4,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.3.2.html,"Act 3, Scene 2, Hamlet and Horatio after play",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S1,Othello,MIT Shakespeare electronic text,https://shakespeare.mit.edu/othello/othello.3.3.html,"Act 3, Scene 3, handkerchief drops",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S2,Othello,MIT Shakespeare electronic text,https://shakespeare.mit.edu/othello/othello.3.3.html,"Act 3, Scene 3, Emilia gives handkerchief to Iago",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S3,Othello,MIT Shakespeare electronic text,https://shakespeare.mit.edu/othello/othello.3.3.html,"Act 3, Scene 3, Iago tells Othello about Cassio",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S4,Othello,MIT Shakespeare electronic text,https://shakespeare.mit.edu/othello/othello.3.4.html,"Act 3, Scene 4, Othello asks for handkerchief",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S5,Othello,MIT Shakespeare electronic text,https://shakespeare.mit.edu/othello/othello.3.4.html,"Act 3, Scene 4, Bianca enters with handkerchief",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
ANT_GUARD_REPORT,ANT_GUARD_REPORT_S1,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, guard's first report to Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_GUARD_REPORT,ANT_GUARD_REPORT_S2,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, guard's first report to Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_GUARD_REPORT,ANT_GUARD_REPORT_S3,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, guard's first report to Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_GUARD_REPORT,ANT_GUARD_REPORT_S4,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, Creon's response to guard",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_TEIRESIAS_OMENS,ANT_TEIRESIAS_OMENS_S1,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, Teiresias speech to Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_TEIRESIAS_OMENS,ANT_TEIRESIAS_OMENS_S2,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, Teiresias speech to Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_TEIRESIAS_OMENS,ANT_TEIRESIAS_OMENS_S3,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, Teiresias sacrifice report",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
ANT_TEIRESIAS_OMENS,ANT_TEIRESIAS_OMENS_S4,Antigone,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Antigone, Teiresias addresses Creon",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_TIREISIAS_ACCUSATION,OED_TIREISIAS_ACCUSATION_S1,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, Oedipus addresses Teiresias",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_TIREISIAS_ACCUSATION,OED_TIREISIAS_ACCUSATION_S2,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, Teiresias resists speaking",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_TIREISIAS_ACCUSATION,OED_TIREISIAS_ACCUSATION_S3,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, Teiresias charges Oedipus",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_TIREISIAS_ACCUSATION,OED_TIREISIAS_ACCUSATION_S4,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, Teiresias repeats charge",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_MESSENGER_SHEPHERD,OED_MESSENGER_SHEPHERD_S1,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, messenger says Polybus was not father by blood",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_MESSENGER_SHEPHERD,OED_MESSENGER_SHEPHERD_S2,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, messenger recalls receiving Oedipus",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_MESSENGER_SHEPHERD,OED_MESSENGER_SHEPHERD_S3,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, messenger questions herdsman",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_MESSENGER_SHEPHERD,OED_MESSENGER_SHEPHERD_S4,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, herdsman admits Laius' house",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
OED_MESSENGER_SHEPHERD,OED_MESSENGER_SHEPHERD_S5,Oedipus the King,"Project Gutenberg #31, F. Storr translation",https://www.gutenberg.org/files/31/31-h/31-h.htm,"Oedipus the King, recognition exchange closes",normalized_public_domain_text,"Project Gutenberg curly apostrophes and em dashes normalized to ASCII apostrophes and double hyphens.",Public domain translation
APOL_ORACLE_INQUIRY,APOL_ORACLE_INQUIRY_S1,Apology,"Project Gutenberg #1656, Benjamin Jowett translation",https://www.gutenberg.org/files/1656/1656-h/1656-h.htm,"Apology, Socrates reports Chaerephon's oracle question",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet paragraph wrapping.",Public domain translation
APOL_ORACLE_INQUIRY,APOL_ORACLE_INQUIRY_S2,Apology,"Project Gutenberg #1656, Benjamin Jowett translation",https://www.gutenberg.org/files/1656/1656-h/1656-h.htm,"Apology, Socrates considers oracle answer",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet paragraph wrapping.",Public domain translation
APOL_ORACLE_INQUIRY,APOL_ORACLE_INQUIRY_S3,Apology,"Project Gutenberg #1656, Benjamin Jowett translation",https://www.gutenberg.org/files/1656/1656-h/1656-h.htm,"Apology, Socrates describes inquiry method",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet paragraph wrapping.",Public domain translation
APOL_ORACLE_INQUIRY,APOL_ORACLE_INQUIRY_S4,Apology,"Project Gutenberg #1656, Benjamin Jowett translation",https://www.gutenberg.org/files/1656/1656-h/1656-h.htm,"Apology, Socrates states conclusion after first inquiry",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet paragraph wrapping.",Public domain translation
SILVER_BLAZE_DOG,SILVER_BLAZE_DOG_S1,The Memoirs of Sherlock Holmes,"Project Gutenberg #834, Arthur Conan Doyle",https://www.gutenberg.org/files/834/834-h/834-h.htm,"Silver Blaze, Holmes and Gregory carriage exchange",normalized_public_domain_text,"Project Gutenberg indentation normalized to blockquote formatting.",Public domain text
SILVER_BLAZE_DOG,SILVER_BLAZE_DOG_S2,The Memoirs of Sherlock Holmes,"Project Gutenberg #834, Arthur Conan Doyle",https://www.gutenberg.org/files/834/834-h/834-h.htm,"Silver Blaze, Holmes identifies incident",normalized_public_domain_text,"Project Gutenberg indentation normalized to blockquote formatting.",Public domain text
SILVER_BLAZE_DOG,SILVER_BLAZE_DOG_S3,The Memoirs of Sherlock Holmes,"Project Gutenberg #834, Arthur Conan Doyle",https://www.gutenberg.org/files/834/834-h/834-h.htm,"Silver Blaze, Gregory and Holmes continue exchange",normalized_public_domain_text,"Project Gutenberg indentation normalized to blockquote formatting.",Public domain text
AESOP_FOX_GRAPES,AESOP_FOX_GRAPES_S1,Three Hundred Aesop's Fables,"Project Gutenberg #21, George Fyler Townsend translation",https://www.gutenberg.org/files/21/21-h/21-h.htm,"The Fox and the Grapes, opening sentence",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet blockquote formatting.",Public domain translation
AESOP_FOX_GRAPES,AESOP_FOX_GRAPES_S2,Three Hundred Aesop's Fables,"Project Gutenberg #21, George Fyler Townsend translation",https://www.gutenberg.org/files/21/21-h/21-h.htm,"The Fox and the Grapes, middle sentence",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet blockquote formatting.",Public domain translation
AESOP_FOX_GRAPES,AESOP_FOX_GRAPES_S3,Three Hundred Aesop's Fables,"Project Gutenberg #21, George Fyler Townsend translation",https://www.gutenberg.org/files/21/21-h/21-h.htm,"The Fox and the Grapes, closing sentence",normalized_public_domain_text,"Project Gutenberg line wrapping normalized to packet blockquote formatting.",Public domain translation
